SCRAPPER; TICKER; NAME                              ; IMAGE                                                                   ; NOTE  ;
FINVIZ  ; AMD   ; Advanced Micro Devices, Inc.      ; https://s3-symbol-logo.tradingview.com/advanced-micro-devices--big.svg  ; Degiro;
FINVIZ  ; ALK   ; Alaska Air Group, Inc.            ; https://s3-symbol-logo.tradingview.com/alaska-air--big.svg              ; Degiro;
FINVIZ  ; AAL   ; American Airlines Group Inc.      ; https://s3-symbol-logo.tradingview.com/american-airlines-group--big.svg ; Degiro;
FINVIZ  ; AAPL  ; Apple Inc.                        ; https://s3-symbol-logo.tradingview.com/apple--big.svg                   ; Degiro;
FINVIZ  ; T     ; AT&T Inc.                         ; https://s3-symbol-logo.tradingview.com/at-and-t--big.svg                ; Degiro;
FINVIZ  ; BP    ; BP p.l.c.                         ; ;                         Degiro;
FINVIZ  ; BA    ; Boeing                            ; ;                            Degiro;
FINVIZ  ; F     ; Ford Motor                        ; ;                        Degiro;
FINVIZ  ; FNKO  ; Funko Inc                         ; ;                         Degiro;
FINVIZ  ; GM    ; General Motors Co                 ; ;                 Degiro;
FINVIZ  ; ING   ; ING Groep NV                      ; ;                     Degiro;
FINVIZ  ; KHC   ; Kraft Heinz Co                    ; ;                    Degiro;
FINVIZ  ; M     ; Macy's Inc                        ; ;                       Degiro;
FINVIZ  ; NCLH  ; Norwegian Cruise Line Holdings Ltd; ; Degiro;
FINVIZ  ; PLUG  ; Plug Power Inc                    ; ;                     Degiro;
FINVIZ  ; SHEL  ; Shell plc                         ; ;                         Degiro;
FINVIZ  ; SIX   ; Six Flags Entertainment Corp      ; ;      Degiro;
FINVIZ  ; LUV   ; Southwest Airlines                ; ;               Degiro;
FINVIZ  ; SBUX  ; Starbucks Corporation             ; ;             Degiro;
FINVIZ  ; UL    ; Unilever PLC                      ; ;                      Degiro;
FINVIZ  ; WFC   ; Wells Fargo                       ; ;                       Degiro;
FINVIZ  ; X     ; United States Steel               ; ;               Degiro;
FINVIZ  ; CSCO  ; Cisco                             ; ;                             Revolut;
FINVIZ  ; KO    ; The Coca-Cola Company             ; ;             Revolut;
FINVIZ  ; MSFT  ; Microsoft Corporation             ; ;             Revolut;
FINVIZ  ; AMZN  ; Amazon.com, Inc.                  ; ;                  Revolut;
FINVIZ  ; GOOGL ; Alphabet Inc.                     ; ;                     Revolut;
FINVIZ  ; MCD   ; McDonald's Corporation            ; ;            Revolut;
FINVIZ  ; CNI   ; Canadian National Railway         ; ;         Trading212;
FINVIZ  ; CP    ; Canadian Pacific Railway Limited  ; ;  Trading212;
FINVIZ  ; CSX   ; CSX Corporation                   ; ;                   Trading212;
FINVIZ  ; NSC   ; Norfolk Southern Corporation      ; ;      Trading212;
FINVIZ  ; UNP   ; Union Pacific Corporation         ; ;         Trading212;
