SCRAPPER; TICKER; NAME                              ; IMAGE                                                                      ; NOTE  ;
FINVIZ  ; AAPL  ; Apple Inc.                        ; https://s3-symbol-logo.tradingview.com/apple--big.svg                      ; Degiro;
FINVIZ  ; ALK   ; Alaska Air Group, Inc.            ; https://s3-symbol-logo.tradingview.com/alaska-air--big.svg                 ; Degiro;
FINVIZ  ; AMD   ; Advanced Micro Devices, Inc.      ; https://s3-symbol-logo.tradingview.com/advanced-micro-devices--big.svg     ; Degiro;
FINVIZ  ; BA    ; Boeing                            ; https://s3-symbol-logo.tradingview.com/boeing--big.svg                     ; Degiro;
FINVIZ  ; CP    ; Canadian Pacific Railway Limited  ; https://s3-symbol-logo.tradingview.com/canadian-pacific-railway--big.svg   ; Trading212;
FINVIZ  ; CSX   ; CSX Corporation                   ; https://s3-symbol-logo.tradingview.com/csx--big.svg                        ; Trading212;
FINVIZ  ; CSCO  ; Cisco                             ; https://s3-symbol-logo.tradingview.com/cisco--big.svg                      ; Revolut;
FINVIZ  ; FNKO  ; Funko Inc                         ; https://s3-symbol-logo.tradingview.com/funko--big.svg                      ; Degiro;
FINVIZ  ; ING   ; ING Groep NV                      ; https://s3-symbol-logo.tradingview.com/ing--big.svg                        ; Degiro;
FINVIZ  ; M     ; Macy's Inc                        ; https://s3-symbol-logo.tradingview.com/macy-s--big.svg                     ; Degiro;
FINVIZ  ; NSC   ; Norfolk Southern Corporation      ; https://s3-symbol-logo.tradingview.com/norfolk-southern--big.svg           ; Trading212;
FINVIZ  ; SBUX  ; Starbucks Corporation             ; https://s3-symbol-logo.tradingview.com/starbucks--big.svg                  ; Degiro;
FINVIZ  ; UNP   ; Union Pacific Corporation         ; https://s3-symbol-logo.tradingview.com/union-pacific--big.svg              ; Trading212;
FINVIZ  ; X     ; United States Steel               ; https://s3-symbol-logo.tradingview.com/united-states-steel--big.svg        ; Degiro;
