SCRAPPER; TICKER; NAME                            ; IMAGE                                                                  ; NOTE ;
FINVIZ  ; ARKK  ; ARK Innovation ETF              ; https://s3-symbol-logo.tradingview.com/ark-etf-tr--big.svg             ;      ;
FINVIZ  ; ABNB  ; AirBnB                          ; https://s3-symbol-logo.tradingview.com/airbnb--big.svg                 ;      ;
FINVIZ  ; GOLD  ; Barrick Gold Corp               ; https://s3-symbol-logo.tradingview.com/barrick-gold--big.svg           ;      ;
FINVIZ  ; CRM   ; Salesforce                      ; https://s3-symbol-logo.tradingview.com/salesforce--big.svg             ;      ;
FINVIZ  ; CROX  ; Crocs Inc.                      ; https://s3-symbol-logo.tradingview.com/crocs--big.svg                  ;      ;
FINVIZ  ; KR    ; Kroger Co.                      ; https://s3-symbol-logo.tradingview.com/kroger--big.svg                 ;      ;
FINVIZ  ; NFLX  ; Netflix Inc.                    ; https://s3-symbol-logo.tradingview.com/netflix--big.svg                ;      ;
FINVIZ  ; TWLO  ; Twilio Inc.                     ; https://s3-symbol-logo.tradingview.com/twilio--big.svg                 ;      ;
FINVIZ  ; DOCN  ; DigitalOcean Holdings Inc       ; https://s3-symbol-logo.tradingview.com/digitalocean--big.svg           ;      ;
FINVIZ  ; SONY  ; Sony Group Corporation          ; https://s3-symbol-logo.tradingview.com/sony--big.svg                   ;      ;
FINVIZ  ; LKNCY ; Luckin coffee                   ;                                                                        ; OTC, Warning - Chinese company ;
FINVIZ  ; NVDA  ; NVIDIA Corporation              ; https://s3-symbol-logo.tradingview.com/nvidia--big.svg                 ;      ;
FINVIZ  ; TSN   ; Tyson Foods, Inc.               ; https://s3-symbol-logo.tradingview.com/tyson-foods--big.svg            ;      ;
FINVIZ  ; TSLA  ; Tesla                           ; https://s3-symbol-logo.tradingview.com/tesla--big.svg                  ;      ;
FINVIZ  ; PEP   ; PepsiCo, Inc.                   ; https://s3-symbol-logo.tradingview.com/pepsico--big.svg                ;      ;
FINVIZ  ; JNJ   ; Johnson & Johnson               ; https://s3-symbol-logo.tradingview.com/johnson-and-johnson--big.svg    ;      ;
FINVIZ  ; COST  ; Costco Wholesale Corporation    ; https://s3-symbol-logo.tradingview.com/costco-wholesale--big.svg       ;      ;
FINVIZ  ; CMG   ; Chipotle Mexican Grill          ; https://s3-symbol-logo.tradingview.com/chipotle-mexican-grill--big.svg ;      ;
FINVIZ  ; DIS   ; The Walt Disney Company         ; https://s3-symbol-logo.tradingview.com/walt-disney--big.svg            ;      ;
FINVIZ  ; CHD   ; Church & Dwight Co., Inc.       ; https://s3-symbol-logo.tradingview.com/church-and-dwight--big.svg      ;      ;
FINVIZ  ; CL    ; Colgate-Palmolive Company       ; https://s3-symbol-logo.tradingview.com/colgate-palmolive--big.svg      ;      ;
FINVIZ  ; VZ    ; Verizon Communications Inc.     ; https://s3-symbol-logo.tradingview.com/verizon--big.svg                ;      ;
FINVIZ  ; WDS   ; Woodside Energy                 ; https://s3-symbol-logo.tradingview.com/woodside-petroleum--big.svg     ;      ;
FINVIZ  ; BP    ; BP p.l.c.                       ; https://s3-symbol-logo.tradingview.com/bp--big.svg                     ;      ;
FINVIZ  ; WM    ; Waste Management, Inc.          ; https://s3-symbol-logo.tradingview.com/waste-management--big.svg       ;      ;
FINVIZ  ; VICI  ; VICI Properties                 ; https://s3-symbol-logo.tradingview.com/vici-properties--big.svg        ; REIT ;
FINVIZ  ; O     ; Realty Income Corporation       ; https://s3-symbol-logo.tradingview.com/realty-income--big.svg          ; REIT - Dividend investors favourite - paying dividends for decades ;
FINVIZ  ; SPG   ; Simon Property Group            ; https://s3-symbol-logo.tradingview.com/simon-property--big.svg         ; REIT - Malls ;
FINVIZ  ; MPW   ; Medical Properties Trust, Inc.  ;                                                                        ; REIT - Hospitals ;
FINVIZ  ; DLR   ; Digital Realty Trust, Inc.      ;                                                                        ; REIT - Datacenters ;
FINVIZ  ; AMT   ; American Tower Corporation      ; https://s3-symbol-logo.tradingview.com/american-tower--big.svg         ; REIT - Telecom ;
FINVIZ  ; WPC   ; W. P. Carey Inc.                ; https://s3-symbol-logo.tradingview.com/w-p-carey--big.svg              ; REIT ;
FINVIZ  ; VNQ   ; Vanguard Real Estate Index Fund ; https://s3-symbol-logo.tradingview.com/vanguard--big.svg               ; REIT - INDEX ;
FINVIZ  ; MA    ; Mastercard Incorporated         ; https://s3-symbol-logo.tradingview.com/mastercard--big.svg             ;      ;
FINVIZ  ; V     ; Visa Inc.                       ; https://s3-symbol-logo.tradingview.com/visa--big.svg                   ;      ;
FINVIZ  ; MCO   ; Moody's Corporation             ; https://s3-symbol-logo.tradingview.com/moodys--big.svg                 ;      ;
FINVIZ  ; SPGI  ; S&P Global Inc.                 ; https://s3-symbol-logo.tradingview.com/s-and-p-global--big.svg         ;      ;

